transaction_id,customer_id,transaction_date,transaction_status,coupon_name,burn_date,branch_id,redemption_status
109,891,2023-08-15,burned,CvT-511,2023-09-15,8,Redeemed
110,857,2024-03-21,burned,PJQ-238,2024-03-23,6,Redeemed
111,28,2023-10-08,burned,QlC-155,2023-10-31,5,Redeemed
112,66,2024-03-28,subscribed,KLh-074,,8,Not Redeemed
113,163,2024-07-04,burned,bpd-636,2024-08-02,3,Redeemed
114,229,2023-06-26,burned,Lkb-392,2023-08-13,3,Redeemed
115,261,2023-04-01,burned,rwU-084,2023-06-11,2,Redeemed
116,449,2024-07-06,subscribed,jsw-309,,5,Not Redeemed
117,424,2023-05-25,subscribed,Bij-994,,3,Not Redeemed
118,460,2024-07-14,subscribed,yxj-830,,3,Not Redeemed
119,952,2024-05-05,subscribed,Kob-565,,6,Not Redeemed
120,676,2024-06-20,burned,JmS-084,2024-08-25,8,Redeemed
121,301,2023-02-14,subscribed,OHA-918,,2,Not Redeemed
122,919,2024-04-19,burned,nwy-642,2024-05-17,4,Redeemed
123,303,2023-07-14,burned,luD-902,2023-08-26,7,Redeemed
124,287,2022-10-23,burned,Rkr-967,2022-11-04,1,Redeemed
125,395,2024-05-14,burned,rgi-716,2024-06-11,1,Redeemed
126,10,2024-06-26,subscribed,zEe-332,,10,Not Redeemed
127,707,2024-03-15,subscribed,wiu-172,,7,Not Redeemed
128,630,2023-10-29,subscribed,mXs-930,,7,Not Redeemed
129,270,2023-06-27,subscribed,RNS-746,,1,Not Redeemed
130,592,2024-06-12,subscribed,YSy-589,,1,Not Redeemed
131,970,2023-03-23,burned,zRz-179,2023-04-01,4,Redeemed
132,605,2024-07-10,subscribed,lKC-819,,5,Not Redeemed
133,778,2023-09-02,subscribed,FnZ-205,,5,Not Redeemed
134,844,2022-05-11,subscribed,KeN-236,,4,Not Redeemed
135,862,2024-06-17,subscribed,Zkj-646,,8,Not Redeemed
136,361,2024-06-22,burned,sZE-347,2024-09-01,7,Redeemed
137,257,2023-11-06,burned,gyZ-102,2023-11-09,9,Redeemed
138,133,2023-09-19,burned,WzK-249,2023-09-28,7,Redeemed
139,276,2022-08-03,burned,NbG-567,2022-09-02,10,Redeemed
140,776,2024-01-01,burned,XOO-964,2024-01-11,1,Redeemed
141,683,2024-07-04,subscribed,UKO-656,,7,Not Redeemed
142,972,2023-08-01,burned,Bgo-468,2023-08-31,1,Redeemed
143,513,2024-01-14,burned,tul-199,2024-04-07,7,Redeemed
144,313,2024-07-09,burned,cpA-630,2024-09-21,10,Redeemed
145,576,2023-09-13,subscribed,LEc-178,,8,Not Redeemed
146,886,2022-11-06,subscribed,caF-606,,9,Not Redeemed
147,980,2024-07-03,burned,vmy-326,2024-09-11,3,Redeemed
148,284,2024-01-17,subscribed,sPm-260,,4,Not Redeemed
149,121,2023-08-31,subscribed,IAZ-369,,4,Not Redeemed
150,107,2023-06-16,burned,tFZ-847,2023-09-13,9,Redeemed
151,933,2024-07-14,subscribed,xmE-712,,7,Not Redeemed
152,687,2024-06-23,subscribed,TVT-879,,3,Not Redeemed
153,997,2024-01-23,subscribed,HKV-668,,10,Not Redeemed
154,204,2023-10-31,burned,sPj-569,2023-11-18,5,Redeemed
155,165,2024-05-09,burned,iYm-076,2024-07-13,7,Redeemed
156,305,2024-01-26,burned,HLz-216,2024-03-25,8,Redeemed
157,497,2024-07-04,subscribed,SCt-697,,1,Not Redeemed
158,632,2024-01-29,burned,frL-042,2024-03-01,2,Redeemed
159,556,2024-05-04,subscribed,BzI-051,,7,Not Redeemed
160,824,2023-11-11,subscribed,YbI-850,,2,Not Redeemed
161,156,2024-06-11,subscribed,IQn-470,,7,Not Redeemed
162,367,2024-02-06,burned,fIR-045,2024-03-16,9,Redeemed
163,719,2023-07-06,burned,vdB-572,2023-07-07,2,Redeemed
164,902,2024-05-01,burned,caz-493,2024-06-07,7,Redeemed
165,620,2023-07-18,burned,Ece-383,2023-09-14,4,Redeemed
166,251,2024-03-27,subscribed,IDn-508,,2,Not Redeemed
167,957,2023-10-17,burned,nxF-161,2024-01-10,7,Redeemed
168,916,2024-03-30,subscribed,bFn-385,,5,Not Redeemed
169,882,2024-04-09,burned,oUu-634,2024-06-20,1,Redeemed
170,334,2023-12-22,burned,uTo-214,2024-02-06,5,Redeemed
171,642,2024-01-15,burned,igA-192,2024-01-26,3,Redeemed
172,969,2024-04-19,subscribed,wyj-831,,7,Not Redeemed
173,511,2023-03-21,subscribed,HvE-675,,6,Not Redeemed
174,293,2023-11-03,subscribed,MYX-030,,8,Not Redeemed
175,20,2023-11-12,subscribed,jwa-955,,5,Not Redeemed
176,282,2023-11-24,subscribed,Hpy-280,,2,Not Redeemed
177,797,2023-04-11,burned,dox-623,2023-05-02,9,Redeemed
178,1,2022-07-30,subscribed,SrP-866,,8,Not Redeemed
179,119,2023-04-19,subscribed,RMr-742,,6,Not Redeemed
180,35,2024-06-24,subscribed,Bie-681,,10,Not Redeemed
181,198,2022-12-01,subscribed,NlH-287,,7,Not Redeemed
182,485,2024-06-22,burned,WxK-972,2024-08-24,9,Redeemed
183,757,2024-01-31,subscribed,uZc-965,,7,Not Redeemed
184,59,2024-04-18,burned,QCM-296,2024-07-03,3,Redeemed
185,837,2023-08-25,burned,sWL-756,2023-11-16,6,Redeemed
186,161,2023-07-19,burned,FRH-291,2023-08-09,7,Redeemed
187,691,2024-06-30,subscribed,Fer-516,,2,Not Redeemed
188,206,2022-12-01,burned,qDx-541,2022-12-24,3,Redeemed
189,12,2024-05-27,subscribed,dwQ-592,,4,Not Redeemed
190,490,2023-07-09,subscribed,ToY-941,,10,Not Redeemed
191,276,2024-05-21,subscribed,IbV-498,,6,Not Redeemed
192,693,2024-02-05,subscribed,WBg-772,,1,Not Redeemed
193,242,2023-03-14,subscribed,OUn-629,,9,Not Redeemed
194,216,2022-09-18,burned,wKW-498,2022-10-19,5,Redeemed
195,251,2023-09-03,burned,Zxb-691,2023-10-09,7,Redeemed
196,811,2023-03-21,subscribed,XdR-711,,9,Not Redeemed
197,126,2024-07-07,burned,FwO-903,2024-09-04,9,Redeemed
198,994,2024-01-31,subscribed,xhC-834,,1,Not Redeemed
199,217,2024-03-23,burned,oVV-952,2024-05-29,1,Redeemed
200,306,2023-10-08,burned,GTs-870,2023-11-26,3,Redeemed
201,797,2023-01-31,burned,zpj-152,2023-04-11,6,Redeemed
202,185,2023-05-15,burned,edX-908,2023-07-17,2,Redeemed
203,39,2024-04-16,burned,ttE-641,2024-07-03,10,Redeemed
204,223,2024-06-07,subscribed,eDG-220,,1,Not Redeemed
205,184,2022-07-16,subscribed,nfu-112,,1,Not Redeemed
206,495,2023-07-07,burned,aDo-382,2023-08-07,5,Redeemed
207,427,2023-02-26,subscribed,tIx-993,,4,Not Redeemed
208,178,2024-01-22,burned,YNH-635,2024-02-13,1,Redeemed
209,919,2023-07-25,subscribed,Blg-841,,4,Not Redeemed
210,428,2023-04-23,burned,aGD-731,2023-07-12,3,Redeemed
211,294,2024-04-18,burned,FeZ-218,2024-05-30,2,Redeemed
212,852,2023-01-04,burned,xKS-228,2023-01-26,9,Redeemed
213,151,2024-06-13,subscribed,HKM-834,,1,Not Redeemed
214,384,2023-02-12,subscribed,uLY-609,,7,Not Redeemed
215,638,2024-06-29,burned,sMW-948,2024-08-22,4,Redeemed
216,813,2024-06-23,burned,qvt-979,2024-09-12,5,Redeemed
217,308,2024-06-24,subscribed,SXh-036,,10,Not Redeemed
218,336,2024-07-14,subscribed,hXh-248,,5,Not Redeemed
219,946,2023-04-17,subscribed,nyt-176,,1,Not Redeemed
220,746,2024-02-27,subscribed,Ger-459,,6,Not Redeemed
221,892,2023-10-11,subscribed,lVV-698,,9,Not Redeemed
222,375,2023-02-06,burned,DHE-579,2023-04-05,2,Redeemed
223,8,2024-04-10,subscribed,Mfx-161,,7,Not Redeemed
224,341,2022-12-16,burned,zme-812,2023-02-17,6,Redeemed
225,129,2024-05-16,burned,ZZb-928,2024-08-07,5,Redeemed
226,776,2024-05-03,subscribed,HBe-858,,4,Not Redeemed
227,669,2024-07-03,subscribed,cld-714,,4,Not Redeemed
228,352,2024-01-10,burned,jyk-031,2024-02-10,6,Redeemed
229,358,2023-09-29,subscribed,CpK-904,,4,Not Redeemed
230,517,2024-07-11,burned,csG-463,2024-08-06,5,Redeemed
231,495,2023-06-25,subscribed,AXB-570,,6,Not Redeemed
232,86,2024-05-08,subscribed,NNo-770,,5,Not Redeemed
233,175,2024-05-09,subscribed,XSg-990,,7,Not Redeemed
234,802,2023-01-14,burned,DeW-939,2023-02-04,9,Redeemed
235,193,2023-03-30,subscribed,khN-045,,10,Not Redeemed
236,311,2022-10-24,burned,nfe-030,2022-12-28,7,Redeemed
237,119,2022-11-22,subscribed,mrV-853,,7,Not Redeemed
238,218,2022-11-16,burned,EgP-683,2023-01-18,4,Redeemed
239,427,2023-10-02,subscribed,Ydh-056,,1,Not Redeemed
240,970,2022-05-27,burned,xrA-525,2022-07-28,8,Redeemed
241,414,2023-12-28,burned,jjV-855,2024-01-31,4,Redeemed
242,114,2024-06-18,burned,WGT-603,2024-08-26,1,Redeemed
243,978,2024-04-07,burned,vih-339,2024-06-18,5,Redeemed
244,145,2022-05-10,burned,bDK-223,2022-07-20,8,Redeemed
245,538,2024-07-10,burned,NjF-195,2024-09-03,4,Redeemed
246,648,2024-04-29,subscribed,Jkg-419,,8,Not Redeemed
247,303,2023-08-10,burned,joR-411,2023-08-18,8,Redeemed
248,744,2024-05-20,burned,okY-486,2024-05-30,3,Redeemed
249,881,2023-06-23,burned,sCI-852,2023-08-16,9,Redeemed
250,588,2024-06-06,subscribed,AqL-699,,3,Not Redeemed
251,987,2023-10-12,subscribed,qAd-918,,1,Not Redeemed
252,840,2024-06-17,subscribed,ejf-979,,2,Not Redeemed
253,345,2022-07-11,burned,vNa-765,2022-07-29,6,Redeemed
254,814,2023-05-07,subscribed,wey-664,,10,Not Redeemed
255,964,2024-02-19,subscribed,xrW-056,,2,Not Redeemed
256,801,2024-02-14,burned,EbE-410,2024-03-16,6,Redeemed
257,1,2022-09-19,burned,krI-075,2022-11-05,1,Redeemed
258,147,2024-07-02,subscribed,ajY-525,,1,Not Redeemed
259,287,2023-11-17,burned,OtP-914,2024-01-04,5,Redeemed
260,976,2024-02-05,burned,qIS-665,2024-04-24,10,Redeemed
261,654,2023-12-07,burned,Bpt-338,2024-01-03,9,Redeemed
262,53,2024-01-06,burned,DBB-896,2024-01-21,8,Redeemed
263,304,2023-03-05,subscribed,HHK-672,,3,Not Redeemed
264,69,2024-02-26,burned,huc-784,2024-03-14,3,Redeemed
265,361,2024-04-09,subscribed,dcX-280,,1,Not Redeemed
266,602,2024-03-19,subscribed,PlX-456,,3,Not Redeemed
267,958,2024-06-19,subscribed,gyF-487,,1,Not Redeemed
268,220,2024-01-09,subscribed,ESP-847,,8,Not Redeemed
269,962,2022-06-16,burned,MSo-818,2022-07-15,1,Redeemed
270,704,2024-02-29,burned,sjI-008,2024-03-15,5,Redeemed
271,966,2023-09-30,burned,lyT-473,2023-10-25,9,Redeemed
272,575,2023-10-14,subscribed,Ldb-221,,7,Not Redeemed
273,585,2023-02-07,subscribed,MbN-878,,4,Not Redeemed
274,161,2023-10-05,subscribed,lSC-579,,9,Not Redeemed
275,681,2024-07-04,burned,QUB-277,2024-10-01,9,Redeemed
276,89,2022-11-11,subscribed,qoi-946,,2,Not Redeemed
277,688,2023-10-16,burned,mzZ-061,2023-11-06,10,Redeemed
278,781,2023-03-30,burned,ISA-587,2023-04-21,10,Redeemed
279,585,2023-07-12,burned,mOD-124,2023-07-26,6,Redeemed
280,757,2024-03-05,burned,IgL-224,2024-05-28,4,Redeemed
281,589,2024-05-06,subscribed,vmz-404,,8,Not Redeemed
282,159,2024-07-05,burned,uJN-157,2024-07-17,7,Redeemed
283,489,2023-09-17,subscribed,XxF-690,,7,Not Redeemed
284,971,2024-03-13,burned,wnY-417,2024-06-02,10,Redeemed
285,324,2024-06-07,subscribed,CDj-152,,9,Not Redeemed
286,610,2023-11-14,subscribed,jDQ-006,,5,Not Redeemed
287,381,2023-04-08,burned,phE-486,2023-04-11,6,Redeemed
288,102,2024-06-24,burned,zFj-287,2024-08-08,1,Redeemed
289,494,2023-06-30,burned,Skh-801,2023-09-13,6,Redeemed
290,644,2023-10-23,subscribed,KrM-018,,2,Not Redeemed
291,614,2024-04-04,burned,wpK-232,2024-04-15,6,Redeemed
292,19,2024-02-04,burned,Rrd-461,2024-02-13,9,Redeemed
293,454,2023-04-23,subscribed,sNL-474,,8,Not Redeemed
294,482,2023-08-26,burned,VPq-047,2023-11-23,9,Redeemed
295,594,2024-04-02,subscribed,lYf-256,,10,Not Redeemed
296,397,2023-12-11,burned,kBh-693,2024-01-04,8,Redeemed
297,279,2023-04-16,subscribed,rny-837,,3,Not Redeemed
298,851,2023-09-17,subscribed,ecc-507,,8,Not Redeemed
299,365,2024-02-06,burned,gDy-246,2024-03-14,6,Redeemed
300,331,2024-02-01,subscribed,MBs-638,,6,Not Redeemed
301,641,2023-08-24,burned,aZr-805,2023-10-26,6,Redeemed
302,344,2022-04-27,burned,KCQ-217,2022-07-01,3,Redeemed
303,822,2024-07-10,subscribed,ovq-458,,10,Not Redeemed
304,455,2024-04-26,burned,lms-900,2024-06-10,1,Redeemed
305,601,2024-07-03,subscribed,eZW-477,,4,Not Redeemed
306,725,2024-02-23,subscribed,DsQ-458,,10,Not Redeemed
307,655,2024-03-07,subscribed,qNJ-504,,6,Not Redeemed
308,65,2024-05-03,subscribed,IbS-983,,10,Not Redeemed
309,76,2024-01-01,subscribed,aVQ-738,,2,Not Redeemed
310,711,2024-05-26,subscribed,xtA-015,,7,Not Redeemed
311,143,2024-06-06,subscribed,fYW-435,,7,Not Redeemed
312,917,2024-06-02,subscribed,bSe-980,,4,Not Redeemed
313,915,2024-01-10,burned,VTK-998,2024-03-10,4,Redeemed
314,828,2024-06-30,burned,MMZ-476,2024-09-22,1,Redeemed
315,605,2024-06-19,subscribed,DPi-017,,2,Not Redeemed
316,473,2023-11-11,burned,VdK-221,2023-11-11,9,Redeemed
317,417,2023-03-25,burned,rkJ-741,2023-03-27,10,Redeemed
318,305,2022-07-27,burned,OeU-050,2022-08-09,8,Redeemed
319,736,2024-06-17,burned,mgh-932,2024-08-23,8,Redeemed
320,497,2024-07-02,burned,SJx-262,2024-09-25,9,Redeemed
321,291,2022-11-30,burned,kHT-522,2023-01-25,7,Redeemed
322,940,2023-08-27,subscribed,GaV-856,,9,Not Redeemed
323,102,2024-07-05,burned,mIC-769,2024-09-25,10,Redeemed
324,986,2023-12-28,burned,eBI-984,2024-02-10,2,Redeemed
325,267,2023-04-24,burned,eQD-434,2023-07-18,6,Redeemed
326,867,2024-06-12,burned,ZHG-189,2024-07-17,3,Redeemed
327,968,2022-09-09,subscribed,VdP-929,,6,Not Redeemed
328,622,2023-02-23,subscribed,qjp-900,,3,Not Redeemed
329,974,2023-07-10,subscribed,kuA-795,,8,Not Redeemed
330,842,2022-08-14,subscribed,xNS-732,,4,Not Redeemed
331,962,2021-12-30,burned,YqJ-714,2022-02-09,10,Redeemed
332,942,2023-11-12,subscribed,xji-720,,6,Not Redeemed
333,777,2024-06-16,subscribed,Baw-697,,9,Not Redeemed
334,3,2024-07-05,subscribed,JZK-100,,2,Not Redeemed
335,85,2022-05-27,subscribed,IMN-488,,2,Not Redeemed
336,794,2023-03-26,burned,bHi-746,2023-05-26,7,Redeemed
337,328,2024-04-16,subscribed,Htp-029,,2,Not Redeemed
338,816,2022-09-09,burned,Lcd-896,2022-10-06,2,Redeemed
339,450,2024-06-24,subscribed,ukx-769,,4,Not Redeemed
340,454,2023-10-09,burned,QjH-585,2023-11-11,9,Redeemed
341,924,2024-01-23,burned,IWJ-792,2024-04-06,8,Redeemed
342,629,2024-07-08,subscribed,fhF-410,,2,Not Redeemed
343,221,2023-05-13,subscribed,xIL-251,,8,Not Redeemed
344,154,2024-07-06,subscribed,she-788,,4,Not Redeemed
345,665,2023-08-11,subscribed,zaJ-028,,2,Not Redeemed
346,12,2023-11-26,burned,OZM-723,2024-02-02,10,Redeemed
347,133,2023-08-27,burned,ZAz-803,2023-11-06,7,Redeemed
348,994,2024-04-11,subscribed,wZn-351,,6,Not Redeemed
349,304,2023-04-15,subscribed,sLt-799,,10,Not Redeemed
350,293,2024-03-25,burned,wnA-981,2024-05-02,5,Redeemed
351,975,2024-05-11,subscribed,FTL-084,,1,Not Redeemed
352,300,2023-05-04,burned,xim-272,2023-07-05,2,Redeemed
353,740,2023-11-17,subscribed,yFA-412,,8,Not Redeemed
354,783,2024-01-19,burned,PNW-448,2024-03-17,1,Redeemed
355,43,2023-04-17,burned,WLd-742,2023-06-16,3,Redeemed
356,944,2024-05-10,burned,Ryu-957,2024-05-20,2,Redeemed
357,343,2023-08-16,burned,XYG-502,2023-11-06,5,Redeemed
358,326,2024-07-04,burned,SOl-549,2024-08-16,4,Redeemed
359,814,2024-05-20,subscribed,FoH-127,,7,Not Redeemed
360,498,2024-07-11,burned,ylc-485,2024-08-31,5,Redeemed
361,364,2023-11-20,subscribed,IYY-928,,8,Not Redeemed
362,891,2023-12-04,burned,mKR-810,2024-02-22,4,Redeemed
363,427,2024-06-13,burned,UZG-151,2024-09-03,6,Redeemed
364,21,2024-07-01,subscribed,CDj-386,,4,Not Redeemed
365,407,2023-11-25,subscribed,gGm-386,,2,Not Redeemed
366,619,2023-07-27,subscribed,EJC-823,,1,Not Redeemed
367,336,2024-07-12,subscribed,yXk-802,,1,Not Redeemed
368,815,2022-10-12,burned,bmO-329,2022-11-30,8,Redeemed
369,117,2023-10-24,subscribed,qTM-092,,4,Not Redeemed
370,124,2023-12-23,burned,suQ-914,2024-02-06,5,Redeemed
371,399,2024-06-10,subscribed,rrP-731,,8,Not Redeemed
372,793,2023-09-20,subscribed,epj-018,,7,Not Redeemed
373,804,2023-12-16,burned,pBr-675,2024-02-10,8,Redeemed
374,715,2022-11-30,burned,YYn-277,2022-12-02,8,Redeemed
375,51,2024-06-29,subscribed,KFS-094,,6,Not Redeemed
376,783,2024-01-28,burned,URF-067,2024-04-03,10,Redeemed
377,324,2024-06-27,burned,Hlm-473,2024-08-13,2,Redeemed
378,789,2024-02-20,burned,Dec-703,2024-02-28,6,Redeemed
379,141,2024-02-01,burned,meb-304,2024-02-06,1,Redeemed
380,470,2022-07-21,burned,ZBj-617,2022-09-06,1,Redeemed
381,787,2023-10-07,burned,MNw-365,2023-12-23,3,Redeemed
382,802,2022-06-07,burned,UgP-881,2022-08-06,3,Redeemed
383,334,2023-07-05,burned,CjP-072,2023-08-08,5,Redeemed
384,893,2023-05-12,subscribed,ihn-957,,1,Not Redeemed
385,964,2024-05-20,burned,AMQ-419,2024-06-06,10,Redeemed
386,373,2022-09-03,subscribed,kdi-817,,6,Not Redeemed
387,564,2024-05-16,burned,zAc-042,2024-06-11,7,Redeemed
388,494,2023-06-01,burned,SaB-386,2023-08-26,10,Redeemed
389,539,2023-02-18,burned,Qwj-550,2023-03-13,3,Redeemed
390,669,2024-06-27,burned,znm-080,2024-07-07,4,Redeemed
391,751,2023-11-26,subscribed,HPu-780,,10,Not Redeemed
392,156,2024-06-29,subscribed,DHs-157,,10,Not Redeemed
393,291,2023-01-23,burned,CWK-183,2023-03-02,10,Redeemed
394,648,2022-07-10,subscribed,ifD-435,,10,Not Redeemed
395,144,2023-04-22,burned,Bkt-041,2023-05-05,10,Redeemed
396,106,2023-02-18,burned,JPd-562,2023-04-07,3,Redeemed
397,420,2024-07-13,subscribed,dWs-156,,1,Not Redeemed
398,670,2023-03-26,subscribed,QBu-841,,8,Not Redeemed
399,658,2024-05-21,burned,OnX-897,2024-07-08,10,Redeemed
400,2,2023-05-21,burned,qPZ-662,2023-05-25,10,Redeemed
401,945,2022-05-07,subscribed,aiy-950,,2,Not Redeemed
402,589,2024-07-11,burned,MzX-262,2024-09-17,1,Redeemed
403,644,2024-05-27,subscribed,YCr-173,,8,Not Redeemed
404,90,2024-03-22,burned,HTX-744,2024-05-08,7,Redeemed
405,345,2023-09-25,burned,hFi-960,2023-12-01,7,Redeemed
406,350,2024-07-10,subscribed,NWL-595,,4,Not Redeemed
407,459,2024-06-19,subscribed,XEG-811,,9,Not Redeemed
408,263,2024-02-28,subscribed,POv-713,,6,Not Redeemed
